[2036, 976, 196, 61, 2895, 1473, 2800, 1056, 574, 1352, 2699, 3, 2453, 2808, 3049, 2907, 128, 3063, 3134, 204, 2886, 307, 2622, 835, 548, 1485, 2408, 879, 469, 3117]
[1384, 1038, 2954, 2123, 174, 574, 1056, 281, 3040, 1552, 2561, 3044, 249, 1957, 1779, 2412, 626, 2922, 2329, 76, 3115, 1484, 1453, 468, 2420, 484, 317, 2447, 1324, 1645]
[3037, 1409, 1179, 2545, 233, 997, 1938, 2944, 2141, 3236, 578, 632, 2949, 1134, 2600, 3230, 1866, 805, 2789, 2627, 2597, 794, 2200, 2765, 361, 2832, 1937, 647, 1318, 1505]
[3062, 1669, 840, 1298, 245, 3237, 1022, 3183, 1121, 572, 3005, 1138, 612, 1930, 643, 2644, 2111, 19, 2503, 117, 426, 705, 1976, 2718, 2830, 2771, 2529, 304, 383, 1116]
[3170, 2305, 35, 3324, 2352, 1998, 2026, 1065, 1793, 2004, 387, 949, 338, 1151, 2923, 2642, 119, 2080, 2133, 247, 1284, 1895, 1605, 75, 180, 584, 317, 285, 1464, 3221]
[1787, 3167, 2358, 2766, 2041, 2501, 1902, 2812, 1169, 700, 2558, 697, 1191, 2082, 3267, 3181, 1268, 1869, 1566, 2149, 206, 428, 314, 3098, 224, 476, 3065, 2631, 3223, 676]
[536, 877, 2813, 1561, 1044, 3207, 1592, 81, 588, 1275, 2842, 1784, 1844, 3201, 2790, 990, 326, 1249, 2269, 2644, 1126, 2023, 1630, 905, 289, 2408, 2339, 2562, 2963, 1116]
[39, 1821, 1619, 891, 336, 849, 2136, 1837, 2955, 248, 2818, 539, 90, 2096, 732, 2642, 3082, 1340, 3310, 3081, 2830, 857, 2759, 2336, 2823, 452, 2440, 2028, 2085, 582]
[2333, 1438, 280, 2326, 3173, 1801, 2355, 2445, 72, 2593, 1139, 2790, 1134, 797, 2842, 1276, 3161, 2080, 1711, 115, 2211, 1040, 1923, 2122, 1499, 2055, 1985, 678, 1478, 2531]
[1091, 841, 3242, 1953, 663, 2884, 1153, 739, 2117, 1145, 2095, 1235, 511, 91, 2042, 2674, 1959, 1566, 1984, 2269, 2270, 169, 2166, 1242, 1439, 58, 2771, 1032, 698, 265]
[2369, 1884, 625, 1915, 901, 502, 1056, 2919, 2892, 2691, 331, 697, 1568, 1749, 63, 1841, 2659, 2287, 2620, 703, 2870, 1880, 2165, 2217, 2277, 1309, 2817, 1780, 301, 2495]
[3008, 382, 1799, 1702, 356, 2704, 502, 3311, 2365, 730, 2671, 1733, 2500, 2755, 227, 701, 2953, 2126, 2915, 2855, 2968, 235, 2416, 1800, 224, 455, 1765, 3131, 86, 2292]
[1830, 3240, 699, 189, 100, 367, 2248, 925, 1502, 2618, 384, 2767, 378, 1491, 2666, 471, 1711, 1183, 3309, 2753, 396, 967, 414, 2331, 2586, 3046, 2950, 2817, 1735, 1571]
[2654, 1025, 2386, 1091, 1260, 2384, 1305, 1337, 1626, 793, 2140, 1421, 2002, 1345, 1241, 801, 2088, 817, 427, 2992, 528, 2475, 2586, 2598, 2714, 3288, 84, 3047, 1710, 1890]
[2535, 1706, 1601, 2436, 1100, 2970, 768, 121, 3126, 572, 2941, 2243, 623, 349, 2222, 1551, 1795, 2156, 450, 1393, 340, 243, 1290, 1342, 220, 2251, 2430, 2315, 487, 3125]
[457, 1106, 899, 620, 2062, 3079, 320, 3229, 2955, 1695, 3084, 1677, 1849, 1507, 1637, 653, 2789, 3212, 3042, 3163, 1208, 2523, 1641, 677, 2527, 707, 947, 3295, 1753, 3314]
[2434, 2688, 889, 1787, 219, 2653, 2985, 939, 591, 739, 2031, 1931, 3035, 711, 3210, 128, 2756, 2781, 2613, 1564, 773, 1208, 1453, 423, 2047, 3295, 332, 2059, 1939, 2154]
[760, 2268, 2652, 2916, 1240, 1021, 2037, 418, 2617, 3057, 1074, 1383, 225, 2666, 2568, 1148, 119, 2188, 801, 1795, 2205, 908, 3034, 799, 12, 1103, 3295, 2837, 2656, 1691]
[2743, 3224, 2651, 2333, 611, 2645, 695, 1021, 2161, 523, 2541, 3107, 2671, 2941, 800, 118, 2503, 472, 3130, 2807, 2483, 529, 1535, 3307, 1161, 2100, 1727, 740, 2210, 1200]
[170, 1706, 2984, 2779, 2342, 1682, 971, 2584, 1444, 1153, 2928, 33, 3225, 64, 844, 1031, 2287, 107, 1538, 3121, 1853, 1812, 3209, 1013, 303, 932, 171, 2763, 751, 3231]
[1669, 1236, 1445, 1158, 1192, 3283, 1456, 868, 1875, 3207, 3194, 308, 2197, 2500, 1487, 1569, 3042, 3230, 1127, 2080, 2820, 256, 2257, 426, 3149, 3215, 2560, 928, 342, 441]
[1099, 599, 2325, 869, 1806, 1852, 1651, 925, 2955, 477, 2579, 2563, 244, 2879, 643, 934, 2491, 2956, 701, 1752, 2886, 1292, 2277, 1190, 1996, 476, 2750, 2606, 397, 2449]
[2954, 1929, 2342, 3038, 35, 1527, 281, 1801, 398, 668, 2747, 3036, 2754, 2524, 1675, 472, 679, 2133, 888, 2628, 1605, 630, 3313, 1910, 2912, 1886, 178, 1918, 678, 2557]
[2576, 2588, 1819, 3111, 1827, 2355, 2519, 1843, 486, 1651, 655, 1779, 3055, 621, 1790, 2682, 2269, 787, 769, 2953, 609, 2182, 51, 1439, 361, 3202, 1265, 3215, 203, 2616]
[2389, 1940, 522, 2696, 186, 3127, 145, 514, 849, 2702, 2732, 844, 2313, 669, 1334, 2756, 3161, 1891, 2627, 1532, 1443, 3141, 1976, 2507, 1590, 742, 1573, 3146, 893, 763]
[2688, 1361, 2374, 2477, 2946, 507, 270, 398, 2572, 2768, 2425, 1554, 253, 2761, 1977, 3292, 111, 204, 3310, 128, 2242, 622, 586, 2270, 2487, 376, 1988, 293, 2486, 228]
[2304, 1428, 2801, 1261, 2106, 804, 1925, 523, 896, 2691, 538, 2767, 1637, 2343, 602, 389, 1454, 74, 2098, 481, 931, 1228, 2621, 937, 680, 1685, 854, 504, 2391, 2750]
[2697, 2375, 280, 61, 2590, 2048, 2811, 1837, 2985, 2636, 37, 64, 2885, 416, 2524, 1704, 3063, 2407, 1466, 2907, 532, 2483, 1427, 2370, 2199, 1068, 745, 3026, 974, 550]
[1070, 2937, 290, 2376, 665, 292, 248, 2533, 1732, 1144, 1769, 2725, 274, 1977, 3184, 3296, 3177, 126, 1339, 375, 2650, 2076, 1558, 2527, 677, 2656, 944, 790, 3244, 1765]
[2984, 2436, 1114, 611, 183, 1462, 367, 849, 1282, 2349, 1903, 1134, 708, 844, 2885, 2505, 421, 1454, 2855, 2613, 2488, 2299, 2151, 2586, 2444, 795, 1335, 762, 1562, 771]
[467, 1754, 913, 1563, 3269, 2981, 2459, 2914, 1458, 55, 1881, 1729, 731, 37, 384, 1866, 1127, 2992, 1279, 3123, 1126, 963, 492, 1995, 2521, 3012, 1586, 1231, 2179, 1771]
[1874, 1314, 480, 250, 1887, 2618, 1556, 3080, 2709, 221, 728, 2761, 1808, 3022, 2940, 2265, 1984, 1276, 2833, 926, 878, 3307, 2420, 137, 1895, 923, 2679, 1027, 783, 1085]
[2393, 189, 2325, 1420, 1414, 2229, 824, 737, 692, 788, 3219, 2218, 3007, 1076, 3272, 201, 2338, 3042, 2008, 2758, 994, 1511, 2665, 1386, 2415, 391, 83, 2452, 84, 1488]
[2102, 3168, 2743, 603, 2403, 3283, 398, 318, 1559, 1732, 2313, 2400, 632, 3105, 1677, 2989, 3305, 129, 1972, 2194, 1398, 2277, 2070, 3149, 53, 1326, 1498, 2411, 1477, 1309]
[3312, 2552, 1830, 2376, 2216, 2498, 1182, 3254, 925, 1722, 697, 190, 387, 1489, 3205, 2674, 334, 1060, 2008, 2126, 2150, 295, 1803, 3034, 3070, 1522, 2318, 1778, 383, 1387]
